scanner	tf	symbol	trades	wins	net	pf	avgR	netStress	windowsUp	days
adaptive-momentum-classifier	4h	ETHUSD	93	38	-95.84	0.896	-0.041	-148.31	4	666
adaptive-momentum-classifier	15m	ETHUSD	158	69	-582.49	0.477	-0.271	-701.77	0	125
adaptive-momentum-classifier	1h	ETHUSD	140	75	-118.80	0.910	-0.035	-340.19	5	250
stealthtrail-supertrend	15m	ETHUSD	313	125	-620.33	0.605	-0.148	-771.51	1	125
auto-s-r-channels	4h	ETHUSD	1	1	8.12	99.000	0.419	7.53	1	666
squeeze-breakout-pro	15m	ETHUSD	100	31	-222.39	0.680	-0.121	-332.25	2	125
squeeze-breakout-pro	1h	ETHUSD	53	18	43.15	1.136	0.047	-4.47	4	250
squeeze-breakout-pro	4h	ETHUSD	36	15	98.75	1.555	0.145	91.40	4	666
smart-money-engine	1h	ETHUSD	180	85	-343.73	0.817	-0.103	-544.34	3	250
auto-s-r-channels	1h	ETHUSD	2	1	-12.77	0.358	-0.316	-13.61	0	250
smart-money-engine	4h	ETHUSD	116	57	-119.79	0.899	-0.040	-117.75	4	666
adaptive-volatility-trend	15m	ETHUSD	52	26	-194.65	0.578	-0.202	-236.63	1	125
adaptive-volatility-trend	1h	ETHUSD	70	34	-163.31	0.750	-0.118	-229.99	2	250
smart-money-engine	15m	ETHUSD	228	109	-576.61	0.634	-0.182	-747.46	1	125
adaptive-volatility-trend	4h	ETHUSD	32	18	392.00	2.386	0.566	230.21	6	666
auto-s-r-channels	15m	ETHUSD	2	1	19.33	2.058	0.510	12.12	1	125
