scanner	tf	symbol	trades	wins	net	pf	avgR	netStress	windowsUp	days
structure-anchored-vwap	4h	SUIUSD	10	6	19.75	1.249	0.108	13.12	3	333
structure-anchored-vwap	15m	NEARUSD	12	9	92.03	2.468	0.376	67.52	5	42
smart-grid-scalping-pullback-strategy-bullbyte	1h	FILUSD	34	24	195.26	2.391	0.268	119.48	5	125
structure-anchored-vwap	1h	XRPUSD	15	10	82.95	1.779	0.276	36.29	5	125
structure-anchored-vwap	4h	UNIUSD	10	9	149.30	8.258	0.714	167.22	5	333
smart-grid-scalping-pullback-strategy-bullbyte	4h	TAOUSD	35	26	62.00	1.430	0.090	37.43	6	333
mcginley-t3-flow-campaign-nick789-v-1	15m	UNIUSD	51	26	25.27	1.052	0.040	-89.33	3	42
structure-anchored-vwap	4h	HYPEUSD	6	6	99.32	99.000	0.803	134.58	5	333
structure-anchored-vwap	15m	FILUSD	5	2	-17.49	0.694	-0.166	-30.71	1	42
structure-anchored-vwap	1h	BTCUSD	13	8	56.31	1.563	0.229	147.77	4	125
nse-elite-strategy-v6-full-system	15m	BCHUSD	43	17	-85.73	0.760	-0.093	-176.97	3	42
swing-breakout-strategy-quant-core	15m	AKEUSD	15	12	195.53	4.878	0.660	163.64	7	42
structure-anchored-vwap	4h	VVVUSD	7	6	214.20	10.641	1.448	207.44	4	333
swing-breakout-strategy-quant-core	15m	AVAXUSD	17	9	4.53	1.028	0.025	-61.16	3	42
smart-grid-scalping-pullback-strategy-bullbyte	4h	EVAAUSD	36	25	85.04	1.733	0.116	69.27	6	333
swing-breakout-strategy-quant-core	15m	MUBARAKUSD	23	14	444.48	3.190	0.848	378.03	7	42
smart-grid-scalping-pullback-strategy-bullbyte	1h	SUIUSD	39	23	41.01	1.297	0.054	-30.45	5	125
swing-breakout-strategy-quant-core	15m	SAGAUSD	19	10	97.09	1.495	0.272	101.39	3	42
swing-breakout-strategy-quant-core	15m	AINUSD	10	4	-73.33	0.350	-0.381	-104.91	0	42
structure-anchored-vwap	1h	TAOUSD	14	8	1.27	1.011	0.014	-23.94	3	125
structure-anchored-vwap	4h	XRPUSD	12	7	46.50	1.453	0.202	34.37	4	333
swing-breakout-strategy-quant-core	15m	COOKIEUSD	12	9	173.84	3.797	0.685	116.93	5	42
smart-grid-scalping-pullback-strategy-bullbyte	4h	PIEVERSEUSD	13	10	86.22	2.374	0.328	78.61	5	154
swing-breakout-strategy-quant-core	15m	1000PEPEUSD	18	12	246.39	2.837	0.643	191.79	4	42
swing-breakout-strategy-quant-core	15m	ETCUSD	13	5	-90.70	0.403	-0.358	-131.50	2	42
structure-anchored-vwap	15m	SUIUSD	14	10	95.60	2.203	0.337	39.89	4	42
swing-breakout-strategy-quant-core	15m	WIFUSD	15	8	124.44	1.799	0.424	80.87	3	42
structure-anchored-vwap	4h	BTCUSD	8	7	65.16	4.124	0.422	76.13	4	333
swing-breakout-strategy-quant-core	15m	DOGEUSD	14	6	-98.38	0.360	-0.364	-94.66	1	42
swing-breakout-strategy-quant-core	15m	ETHUSD	7	3	-19.96	0.730	-0.136	-42.19	2	42
structure-anchored-vwap	1h	EVAAUSD	13	10	170.94	3.659	0.621	140.09	6	125
swing-breakout-strategy-quant-core	15m	SOLUSD	13	6	-9.39	0.930	-0.024	-22.99	3	42
swing-breakout-strategy-quant-core	15m	ZECUSD	24	12	-39.32	0.827	-0.085	-41.67	5	42
smart-grid-scalping-pullback-strategy-bullbyte	4h	LINKUSD	39	30	160.95	2.405	0.196	113.00	7	333
structure-anchored-vwap	4h	TAOUSD	8	8	114.91	99.000	0.687	96.87	5	333
swing-breakout-strategy-quant-core	15m	AAVEUSD	21	9	-76.63	0.655	-0.182	-106.12	4	42
smart-grid-scalping-pullback-strategy-bullbyte	1h	UNIUSD	61	38	78.49	1.276	0.066	2.43	6	125
swing-breakout-strategy-quant-core	15m	NEARUSD	17	8	36.41	1.202	0.127	-0.83	4	42
swing-breakout-strategy-quant-core	15m	FILUSD	15	5	-63.27	0.660	-0.196	-108.44	2	42
swing-breakout-strategy-quant-core	15m	SUIUSD	20	9	-11.40	0.946	-0.017	-57.36	4	42
structure-anchored-vwap	1h	PIEVERSEUSD	16	6	142.41	1.613	0.461	67.19	4	125
structure-anchored-vwap	15m	UNIUSD	20	12	180.44	2.047	0.449	158.44	5	42
swing-breakout-strategy-quant-core	15m	UNIUSD	17	9	134.29	1.792	0.399	57.33	3	42
structure-anchored-vwap	4h	EVAAUSD	7	4	5.28	1.112	0.044	2.71	3	333
swing-breakout-strategy-quant-core	15m	HYPEUSD	16	9	3.18	1.023	0.018	-75.16	4	42
swing-breakout-strategy-quant-core	15m	VVVUSD	18	10	120.27	1.677	0.343	57.96	6	42
structure-anchored-vwap	4h	PIEVERSEUSD	3	2	102.94	6.206	1.750	98.10	2	154
swing-breakout-strategy-quant-core	15m	XRPUSD	14	7	-4.05	0.971	-0.004	-57.33	2	42
smart-grid-scalping-pullback-strategy-bullbyte	4h	BNBUSD	32	22	69.47	1.551	0.120	30.77	5	333
swing-breakout-strategy-quant-core	15m	BTCUSD	4	1	-51.51	0.088	-0.664	-52.75	1	42
swing-breakout-strategy-quant-core	15m	TAOUSD	24	14	27.70	1.139	0.068	-39.80	4	42
structure-anchored-vwap	1h	LINKUSD	12	10	105.69	3.546	0.428	51.42	5	125
swing-breakout-strategy-quant-core	15m	EVAAUSD	14	10	152.22	2.910	0.530	90.76	5	42
structure-anchored-vwap	4h	LINKUSD	10	9	137.98	7.165	0.665	130.90	5	333
mcginley-t3-flow-campaign-nick789-v-1	15m	HYPEUSD	56	33	236.01	1.448	0.209	56.05	5	42
smart-grid-scalping-pullback-strategy-bullbyte	1h	HYPEUSD	40	22	-73.35	0.683	-0.092	-109.69	2	125
swing-breakout-strategy-quant-core	15m	PIEVERSEUSD	23	13	235.80	2.188	0.498	157.69	5	42
swing-breakout-strategy-quant-core	15m	LINKUSD	22	13	55.89	1.298	0.141	-58.99	3	42
structure-anchored-vwap	15m	HYPEUSD	12	9	184.84	3.958	0.735	133.33	4	42
swing-breakout-strategy-quant-core	15m	BNBUSD	8	2	-9.68	0.916	-0.022	-34.41	1	42
